id,name,bn_name,gender
128,Dr. Fazle Rabbi,Dr. Fazle Rabbi,MALE
129,Dr. Md.Shamim Arafath,Dr. Md.Shamim Arafath,MALE
130,Dr. Kamrul Hasan,Dr. Kamrul Hasan,MALE
131,Dr. Md. Jamshed Ali,Dr. Md. Jamshed Ali,MALE
132,Dr. Shamsuddin Mahmud,Dr. Shamsuddin Mahmud,MALE
133,Dr. Raquib Hussain,Dr. Raquib Hussain,MALE
134,Dr. Farzana Akhtar,Dr. Farzana Akhtar,FEMALE
135,Dr. Be Low,Dr. Be Low,MALE
136,Dr. MD. GOLAM-UR-RAHAMAN SOHAIL,Dr. MD. GOLAM-UR-RAHAMAN SOHAIL,MALE
137,Dr. Shahnaz Mustafa,Dr. Shahnaz Mustafa,FEMALE
138,Dr. M Hadiuzzaman Hadi,Dr. M Hadiuzzaman Hadi,MALE
139,Dr. SAMRAT SADAT AL Safi,Dr. SAMRAT SADAT AL Safi,MALE
140,Dr. Sanjiba Chowdhury,Dr. Sanjiba Chowdhury,FEMALE
141,Dr. Tamim Al Mishu,Dr. Tamim Al Mishu,MALE
142,Dr. Md. Anisul Hoque,Dr. Md. Anisul Hoque,MALE
143,Dr. Md. Imtiaz Safa,Dr. Md. Imtiaz Safa,MALE
144,Dr. SWATI DAS,Dr. SWATI DAS,FEMALE
145,Dr. Sheikh Abir Mahmood,Dr. Sheikh Abir Mahmood,MALE
146,Asst. Prof. Dr. Moyeen Uddin Ahmed,Asst. Prof. Dr. Moyeen Uddin Ahmed,MALE
147,Dr. Maisum Sobhan,Dr. Maisum Sobhan,MALE
148,Dr. S M Mahbubur Rahman,Dr. S M Mahbubur Rahman,FEMALE
149,Dr. Mashrufa Tasnim,Dr. Mashrufa Tasnim,FEMALE
150,Dr. MD.NAHID YUSUF,Dr. MD.NAHID YUSUF,MALE
151,Shahina Akther,Shahina Akther,FEMALE
152,Shamima Akter Mimi,Shamima Akter Mimi,FEMALE
153,Dr. Thouhidul Anwar,Dr. Thouhidul Anwar,MALE
154,Dr. Ram Chowdhury,Dr. Ram Chowdhury,MALE
155,Dr. Maj. Lutfor Rahman,Dr. Maj. Lutfor Rahman,MALE
156,Dr. Saikat Joydhar,Dr. Saikat Joydhar,MALE
157,Dr. Rif At Walia Nabila,Dr. Rif At Walia Nabila,FEMALE
158,Dr. Marouf Hossain Evan,Dr. Marouf Hossain Evan,MALE
159,Dr. Sanjida Ahmed,Dr. Sanjida Ahmed,FEMALE
160,Dr. Awad Nur Al Sabri,Dr. Awad Nur Al Sabri,MALE
161,Dr. Aga Salehin Farhan,Dr. Aga Salehin Farhan,MALE
162,Dr. anowar shamim,Dr. anowar shamim,MALE
163,Dr. Sharmin Nahar,Dr. Sharmin Nahar,FEMALE
164,Dr. Md. Radwanur Rahman Anik,Dr. Md. Radwanur Rahman Anik,MALE
165,Dr. Dhiman Chowdhury,Dr. Dhiman Chowdhury,MALE
166,Dr. Fuad Ahmed,Dr. Fuad Ahmed,MALE
167,Dr. Rasna sharmin,Dr. Rasna sharmin,FEMALE
168,Dr. Md.Rasheduzzaman Sarker,Dr. Md.Rasheduzzaman Sarker,MALE
169,Dr. Subarna Biswas,Dr. Subarna Biswas,FEMALE
170,Dr. Fatema Akhter Sampa,Dr. Fatema Akhter Sampa,FEMALE
